"","Package","LibPath","Version","Priority","Built"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.3"
"base","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.65.0-1",NA,"3.4.1"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2",NA,"3.4.0"
"Biobase","Biobase","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.38.0",NA,"3.4.2"
"BiocGenerics","BiocGenerics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.24.0",NA,"3.4.2"
"BiocInstaller","BiocInstaller","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.28.0",NA,"3.4.2"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-6",NA,"3.4.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-20","recommended","3.4.3"
"broom","broom","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.3",NA,"3.4.2"
"callr","callr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.3"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.17.1",NA,"3.4.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"class","class","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-14","recommended","3.4.3"
"cli","cli","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.2"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.2"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.6","recommended","3.4.3"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-15","recommended","3.4.3"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.1"
"curl","curl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1",NA,"3.4.3"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.10.4-3",NA,"3.4.2"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"debugme","debugme","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.2"
"desc","desc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.1"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-0",NA,"3.4.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.12",NA,"3.4.0"
"dotCall64","dotCall64","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-5.2",NA,"3.4.3"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.4",NA,"3.4.2"
"enc","enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.2"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10.1",NA,"3.4.1"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.4",NA,"3.4.3"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8-69","recommended","3.4.3"
"fs","fs","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.3"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.18.0",NA,"3.4.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.1",NA,"3.4.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.1"
"git2r","git2r","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.21.0",NA,"3.4.3"
"glmnet","glmnet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-13",NA,"3.4.2"
"glue","glue","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.2"
"gplots","gplots","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0.1",NA,"3.4.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"grid","grid","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.5.0",NA,"3.4.0"
"haven","haven","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.3"
"highr","highr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6",NA,"3.4.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.1",NA,"3.4.3"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.6",NA,"3.4.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.5",NA,"3.4.1"
"httr","httr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.1"
"ini","ini","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.2"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.9",NA,"3.4.3"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.23-15","recommended","3.4.3"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.19",NA,"3.4.2"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.20-35","recommended","3.4.3"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.2"
"limma","limma","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.34.2",NA,"3.4.2"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.1",NA,"3.4.2"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.2.0",NA,"3.4.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8",NA,"3.4.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-48","recommended","3.4.3"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-12","recommended","3.4.3"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.53.0",NA,"3.4.3"
"metagenomeSeq","metagenomeSeq","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.20.0",NA,"3.4.2"
"methods","methods","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-23","recommended","3.4.3"
"mime","mime","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.0"
"mnormt","mnormt","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-5",NA,"3.4.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.1"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.3",NA,"3.4.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1-131","recommended","3.4.3"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-12","recommended","3.4.3"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.9",NA,"3.4.2"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"permute","permute","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-4",NA,"3.4.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.3"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.0"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-1",NA,"3.4.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.4",NA,"3.4.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"psych","psych","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.8",NA,"3.4.2"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.4",NA,"3.4.2"
"R6","R6","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.2",NA,"3.4.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.12.15",NA,"3.4.3"
"readr","readr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.0"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.1"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.2"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.3",NA,"3.4.3"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-9",NA,"3.4.2"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.6",NA,"3.4.3"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8",NA,"3.4.2"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.1-12","recommended","3.4.3"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.3"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.1"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.2",NA,"3.4.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.1"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-1",NA,"3.4.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.5",NA,"3.4.1"
"shinydashboard","shinydashboard","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.6",NA,"3.4.0"
"spam","spam","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1-2",NA,"3.4.3"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-11","recommended","3.4.3"
"splines","splines","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"stats","stats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.6",NA,"3.4.2"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"styler","styler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.3"
"survival","survival","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.41-3","recommended","3.4.3"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.0",NA,"3.4.3"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.2",NA,"3.4.3"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.0",NA,"3.4.3"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.3",NA,"3.4.2"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.2"
"tools","tools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.3",NA,"3.4.3"
"utils","utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"vegan","vegan","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.4-6",NA,"3.4.3"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-2",NA,"3.4.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.1",NA,"3.4.3"
"xlsx","xlsx","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.7",NA,"3.4.0"
"xlsxjars","xlsxjars","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.0"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.0"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.16",NA,"3.4.3"
